Time,CL,CK,CS,CB,Clung
0.5,592.8853755,542.2647528,1333.059885,4.25,1106.719368
4,1581.027625,426.0651629,1640.68909,2.125,869.5652174
24,16942.625,309.865573,5270.7137,2.125,434.7826087
168,19819.875,271.1323764,30812.5,2.125,474.3083004
720,5691.699605,309.865573,18540.625,2.125,316.2055336
2160,5138.339921,232.3991798,12467.375,0.425,
4320,4308.300395,,4426.877471,0.425,
,,,,,
,,,,,
,,,,,
,691.3580247,567.9012346,839.5061728,,1111.111111
,20377.35849,493.8271605,3456.790123,,962.962963
,20188.67925,320.9876543,34150.9434,,444.4444444
,1876.54321,296.2962963,33396.22642,,518.5185185
,6271.604938,370.3703704,19622.64151,,345.6790123
,4938.271605,222.2222222,13018.86792,,148.1481481
,4370.37037,74.07407407,4716.049383,,74.07407407
