,Age/weight,Analysis method,Charge,ID,Ligand,NP_Shape,NP_Type,Name,Organ,PEG cover,PMID,Paper Title,Publication link,Size_nm,Species,Strain,Study_id,Time,Year of publication,perc_ID_g_Kidney,perc_ID_g_Liver,perc_ID_g_Lung,perc_ID_g_Spleen,CK,CL,Clung,CS,Dose (mg/kg),Body weight (kg),Input pathway
0,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,PEG coated Au NPs 42.5nm,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,4,2018,2.91588785,12.58823529,5.223880597,25.04424779,2186.915888,9441.176471,3917.910448,18783.18584,3,0.025,intravenous injection
1,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,24,2018,7.177570093,43.29411765,3.507462687,30.26548673,5383.17757,32470.58824,2630.597015,22699.11505,,,
2,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,48,2018,5.271028037,30,1.940298507,32.65486726,3953.271028,22500,1455.223881,24491.15045,,,
3,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,144,2018,4.411214953,12.94117647,4.179104478,45.66371681,3308.411215,9705.882353,3134.328358,34247.78761,,,
4,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,240,2018,2.205607477,8.941176471,1.567164179,39.38053097,1654.205607,6705.882353,1175.373134,29535.39823,,,
5,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,480,2018,3.065420561,7.294117647,2.164179104,26.72566372,2299.065421,5470.588235,1623.134328,20044.24779,,,
6,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,720,2018,2.168224299,8.235294118,0.447761194,19.02654867,1626.168224,6176.470588,335.8208955,14269.9115,,,
7,19,ICP-AES,Neutral,37,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,42.5,Mouse,Kunming mice,94,2160,2018,0.485981308,4.117647059,,4.778761062,364.4859813,3088.235294,,3584.070797,,,
