,Age/weight,Analysis method,Charge,ID,Ligand,NP_Shape,NP_Type,Name,Organ,PEG cover,PMID,Paper Title,Publication link,Size_nm,Species,Strain,Study_id,Time,Year of publication,perc_ID_g_Kidney,perc_ID_g_Liver,perc_ID_g_Lung,perc_ID_g_Spleen,CK,CL,Clung,CS,Dose (mg/kg),Body weight (kg),Input pathway
0,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,PEG coated Au NPs 61.2nm,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,4,2018,0.67,40.82,5.37,33.72,504.6728972,30617.64706,4029.850746,25287.61062,3,0.025,intravenous injection
1,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,24,2018,0.6,53.88,2.84,39.82,448.5981308,40411.76471,2126.865672,29867.25664,,,
2,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,48,2018,0.52,38.94,3.36,30.35,392.5233645,29205.88235,2518.656716,22765.48673,,,
3,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,144,2018,0.15,19.88,1.94,16.46,112.1495327,14911.76471,1455.223881,12345.13274,,,
4,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,240,2018,,17.88,0.82,12.57,,13411.76471,615.6716418,9424.77876,,,
5,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,480,2018,,18,0.6,9.38,,13500,447.761194,7035.39823,,,
6,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,720,2018,,11.06,,8.67,,8294.117647,,6504.424779,,,
7,19,ICP-AES,Neutral,38,No,Nanoparticle,Gold,,Liver,3400,29677597,The systematic evaluation of size-dependent toxicity and multi-time biodistribution of gold nanoparticles - PubMed,https://linkinghub.elsevier.com/retrieve/pii/S0927-7765(18)30209-1,61.2,Mouse,Kunming mice,94,2160,2018,,8.47,,3.54,,6352.941176,,2654.867257,,,
