"","2.5%","25%","50%","75%","97.5%"
"K_release_Liver",0.000380437851113912,0.000642669685782731,0.00084217937033336,0.00111284910637144,0.00192251855455711
"K_max_Liver",0.688115173487351,1.44027425349815,2.02949207690108,2.77007156123357,4.52913882981765
"K_50_Liver",11.7040242322529,21.8872921490063,28.3848579399369,34.9526428366624,45.0895147754248
"n_Liver",0.00352544830333541,0.0221852685605246,0.0517404067098829,0.0888380153806031,0.1572209976605
"K_release_Spleen",2.29153938723773e-07,4.32610028616285e-07,6.40355812865621e-07,9.59206483225852e-07,2.14939851734019e-06
"K_max_Spleen",0.788400174801921,1.60384900966365,2.28068023626939,3.19824586715835,5.7880168476595
"K_50_Spleen",186.267262294311,442.7644508757,686.251242605228,1034.82541074882,2080.68405568533
"n_Spleen",0.00205207118889247,0.0025551502719401,0.00338403075755488,0.00504197860213059,0.0129918923343097
"K_release_Kidney",0.00458288176682711,0.00854395161968435,0.0110477962848819,0.0138034589226809,0.0184196997472526
"K_max_Kidney",0.0021955909261917,0.00394932448398759,0.00685380357924156,0.0125191319064847,0.0398845862573377
"K_50_Kidney",0.505622945438887,0.737275301687365,1.09851046517992,1.92767763666833,6.94954641318525
"n_Kidney",0.0481570831251764,0.0855549205239268,0.109434967544689,0.135617668758744,0.180877617560483
"K_release_Lung",0.00177045787237297,0.00499904766844398,0.0101461019894409,0.0194809022070353,0.0621312738502226
"K_max_Lung",0.0162834043649543,0.0449317840007312,0.0698719501440026,0.100238834264349,0.16380667077209
"K_50_Lung",1.72835186026876,7.18467320180408,13.3340732253496,20.9821897839144,36.5287164165662
"n_Lung",0.0584988323024623,0.108039288279191,0.135711278194256,0.161912787098381,0.192899073403655
"P_Liver",0.00162772211714358,0.00190288896617225,0.00232514119065719,0.00311115135923934,0.00626708487422492
"P_Brain",0.027090558702204,0.0734369871565023,0.111346214956469,0.154603287068774,0.239239541804871
"P_Kidney",0.00341172929399342,0.00884570809873586,0.0193549311193992,0.0400854448415061,0.114435214824993
"P_Spleen",0.0231925050488793,0.0806518185739581,0.124667748405146,0.17156249620622,0.258042810020621
"P_Lung",0.00933111178275798,0.0249025956932165,0.0428637042177904,0.0716078685939286,0.173451407540444
"P_Rest",0.127417370148211,0.190787696555014,0.224912395707839,0.256658982499806,0.292031403007624
"DLC_Liver",0.00082072868510916,0.00120795065006333,0.00144690729426208,0.00166997554946357,0.00193942497800024
"DLC_Brain",2.42396039942642e-07,5.38304713479523e-07,7.80166049824215e-07,1.06077471082176e-06,1.61656834564313e-06
"DLC_Kidney",4.88964576198243e-05,0.000116060808633548,0.000206544265631776,0.000394277121227646,0.00120735598771963
"DLC_Spleen",0.000550081310038758,0.000967808939126315,0.00124080676182651,0.00150794346573636,0.00189348798579194
"DLC_Lung",0.0281305295141178,0.0414072946200418,0.0491277060773306,0.0564279070878773,0.0651552530871634
"DLC_Rest",3.61435420034091e-07,7.4487259180319e-07,1.00584396606561e-06,1.29143130882169e-06,1.79115142843455e-06
"Kbile",7.56828459142652e-05,0.000178825964493219,0.000268547651909637,0.000399261753807917,0.00076749368901548
"Kurine",5.36126446731793e-05,0.000100390326504828,0.000130401264862835,0.000163253713761015,0.000218616634380524
"sig2",0.604511057169262,0.985975570176621,1.32645262247261,1.81385735089162,2.9537660465222
"sig_K_release_Liver",0.324693753433465,0.52747469874211,0.697010858101156,0.946391778601817,1.85066768680502
"sig_K_max_Liver",0.92495435004315,1.80333333826122,2.59105564272525,3.7690648114703,8.32974738496902
"sig_K_50_Liver",0.335634077196485,0.535774414204312,0.700875284704249,0.931753554730967,1.66278327069869
"sig_n_Liver",0.487665250973179,0.970150136955877,1.43372322358661,2.13876008187051,4.53598354704021
"sig_K_release_Spleen",0.385244675249694,0.669678899575426,0.950821175598326,1.38609641695463,2.86942902521874
"sig_K_max_Spleen",0.366174976416938,0.733941332459045,1.10482820971878,1.65346336415768,3.3870936952279
"sig_K_50_Spleen",0.47013593438476,0.868482556741676,1.25295493446648,1.8417056132771,4.05888491808003
"sig_n_Spleen",0.727142122176866,1.4562846609203,2.24952430895842,3.61098364255041,9.32690306032539
"sig_K_release_Kidney",0.683268744256315,1.37152264722606,2.09966759949828,3.35625544361529,8.63734470017449
"sig_K_max_Kidney",0.340023424944218,0.554810231509626,0.752579046750173,1.05171237723665,2.03943922187834
"sig_K_50_Kidney",0.474828127115769,0.847207834898851,1.20184028929002,1.7558008646942,3.8849736954781
"sig_n_Kidney",0.349629632909646,0.56486976673377,0.743763614224331,1.01239607923515,1.8438079499388
"sig_K_release_Lung",0.440587054229442,0.806078646362566,1.14735127664647,1.68498651999515,3.83444767631559
"sig_K_max_Lung",0.527923249220844,0.939434870332966,1.30491961385123,1.85675225125873,3.7319469620321
"sig_K_50_Lung",0.288132243861427,0.449105246596133,0.575771719303365,0.74807962735234,1.29421360451764
"sig_n_Lung",1.21904994769685,3.29967177940964,5.63309645197974,9.82052506165484,28.3476635938095
"sig_P_Liver",0.427884801812842,0.715310204166243,0.969795047342104,1.34738320550918,2.57482442556851
"sig_P_Brain",0.389732739339737,0.695938832967625,1.00627767645055,1.4840933903231,3.44869879274158
"sig_P_Kidney",11.4231292952407,27.6017546885706,43.2379887663428,67.590614463429,153.755783190434
"sig_P_Spleen",0.380108150909056,0.637749696424125,0.852406566556806,1.16000998889654,2.23165355521446
"sig_P_Lung",0.260182539137195,0.397575340927948,0.509931996123856,0.665658718326127,1.14090453805535
"sig_P_Rest",0.301999001329323,0.477389656679443,0.627694727137295,0.835198330997611,1.52526077708174
